company¬,country¬,director¬,genre¬,name¬,rating¬,runtime¬,writer¬,year¬,,,
TriStar Pictures¬,USA¬,John Badham¬,Comedy¬,Short Circuit¬,PG¬,98¬,S.S. Wilson¬,1986¬,,,
Neue Constantin Film¬,Italy¬,Jean-Jacques Annaud¬,Crime¬,The Name of the Rose¬,R¬,130¬,Umberto Eco¬,1986¬,,,
TriStar Pictures¬,USA¬,Sidney J. Furie¬,Action¬,Iron Eagle¬,PG-13¬,117¬,Kevin Alyn Elders¬,1986¬,,,
Paramount Pictures¬,USA¬,Michael Ritchie¬,Action¬,The Golden Child¬,PG-13¬,94¬,Dennis Feldman¬,1986¬,,,
Hemdale¬,USA¬,Tim Hunter¬,Crime¬,River's Edge¬,R¬,99¬,Neal Jimenez¬,1986¬,,,
L.A. Films¬,USA¬,John Landis¬,Comedy¬,ﾡThree Amigos!¬,PG¬,104¬,Steve Martin¬,1986¬,,,
Warner Bros.¬,USA¬,George P. Cosmatos¬,Action¬,Cobra¬,R¬,87¬,Paula Gosling¬,1986¬,,,
Gaumont¬,France¬,Jean-Jacques Beineix¬,Drama¬,Betty Blue¬,Not specified¬,120¬,Philippe Djian¬,1986¬,,,
Warner Bros.¬,UK¬,Roland Joff�¬,Adventure¬,The Mission¬,PG¬,125¬,Robert Bolt¬,1986¬,,,
Touchstone Pictures¬,USA¬,Martin Scorsese¬,Drama¬,The Color of Money¬,R¬,119¬,Walter Tevis¬,1986¬,,,
Columbia Pictures Corporation¬,USA¬,John G. Avildsen¬,Action¬,The Karate Kid Part II¬,PG¬,113¬,Robert Mark Kamen¬,1986¬,,,
Lorimar Productions¬,USA¬,Nick Castle¬,Drama¬,The Boy Who Could Fly¬,PG¬,114¬,Nick Castle¬,1986¬,,,
HBO Films¬,USA¬,Robert Harmon¬,Thriller¬,The Hitcher¬,R¬,97¬,Eric Red¬,1986¬,,,
Amblin Entertainment¬,USA¬,Richard Benjamin¬,Comedy¬,The Money Pit¬,PG¬,91¬,David Giler¬,1986¬,,,
Paramount Pictures¬,USA¬,Tom McLoughlin¬,Horror¬,Jason Lives: Friday the 13th Part VI¬,R¬,86¬,Tom McLoughlin¬,1986¬,,,
The Saul Zaentz Company¬,USA¬,Peter Weir¬,Adventure¬,The Mosquito Coast¬,PG¬,117¬,Paul Theroux¬,1986¬,,,
Universal Pictures¬,USA¬,Don Bluth¬,Animation¬,An American Tail¬,G¬,80¬,Judy Freudberg¬,1986¬,,,
Initial Pictures¬,UK¬,Alex Cox¬,Biography¬,Sid and Nancy¬,R¬,112¬,Alex Cox¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,John Guillermin¬,Action¬,King Kong Lives¬,PG-13¬,105¬,Ronald Shusett¬,1986¬,,,
Empire Pictures¬,USA¬,Stuart Gordon¬,Horror¬,From Beyond¬,R¬,86¬,H.P. Lovecraft¬,1986¬,,,
TriStar Pictures¬,USA¬,Francis Ford Coppola¬,Comedy¬,Peggy Sue Got Married¬,PG-13¬,103¬,Jerry Leichtling¬,1986¬,,,
Freddie Fields Productions¬,USA¬,Brian Gibson¬,Horror¬,Poltergeist II: The Other Side¬,PG-13¬,91¬,Mark Victor¬,1986¬,,,
Empire Pictures¬,USA¬,John Carl Buechler¬,Comedy¬,Troll¬,PG-13¬,82¬,Ed Naha¬,1986¬,,,
Metro-Goldwyn-Mayer (MGM)¬,USA¬,Peter Hyams¬,Action¬,Running Scared¬,R¬,107¬,Gary DeVore¬,1986¬,,,
Hawn ¬, Sylbert Movie Company¬,USA¬,Michael Ritchie¬,26285544.0¬,Wildcats¬,140286¬,10239¬,Ezra Sacks¬,1986¬,,
Maljack Productions¬,USA¬,John McNaughton¬,Biography¬,Henry: Portrait of a Serial Killer¬,UNRATED¬,83¬,Richard Fire¬,1986¬,,,
ABC Motion Pictures¬,USA¬,Harry Winer¬,Adventure¬,SpaceCamp¬,PG¬,107¬,Clifford Green¬,1986¬,,,
Orion Pictures¬,USA¬,Woody Allen¬,Comedy¬,Hannah and Her Sisters¬,PG-13¬,107¬,Woody Allen¬,1986¬,,,
Walt Disney Pictures¬,USA¬,Ron Clements¬,Animation¬,The Great Mouse Detective¬,G¬,74¬,Peter Young¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,John Irvin¬,Action¬,Raw Deal¬,R¬,106¬,Luciano Vincenzoni¬,1986¬,,,
Sunbow Productions¬,USA¬,Nelson Shin¬,Animation¬,The Transformers: The Movie¬,PG¬,84¬,Ron Friedman¬,1986¬,,,
TaliaFilm II Productions¬,USA¬,Hal Needham¬,Drama¬,Rad¬,PG¬,91¬,Sam Bernard¬,1986¬,,,
TriStar Pictures¬,USA¬,Fred Dekker¬,Comedy¬,Night of the Creeps¬,R¬,88¬,Fred Dekker¬,1986¬,,,
Cannon Pictures¬,USA¬,Tobe Hooper¬,Horror¬,Invaders from Mars¬,PG¬,100¬,Richard Blake¬,1986¬,,,
Columbia Pictures Corporation¬,USA¬,Walter Hill¬,Drama¬,Crossroads¬,R¬,99¬,John Fusco¬,1986¬,,,
De Haven Productions¬,UK¬,David Anspaugh¬,Drama¬,Hoosiers¬,PG¬,114¬,Angelo Pizzo¬,1986¬,,,
Svenska Filminstitutet (SFI)¬,Sweden¬,Andrei Tarkovsky¬,Drama¬,Sacrifice¬,PG¬,149¬,Andrei Tarkovsky¬,1986¬,,,
Cinema '85¬,USA¬,James Foley¬,Crime¬,At Close Range¬,R¬,111¬,Elliott Lewitt¬,1986¬,,,
Blueline Productions¬,USA¬,Peter Markle¬,Drama¬,Youngblood¬,R¬,110¬,Peter Markle¬,1986¬,,,
Seasonal Film Corporation¬,USA¬,Corey Yuen¬,Action¬,"No Retreat, No Surrender¬",PG¬,85¬,See-Yuen Ng¬,1986¬,,,
Universal Pictures¬,USA¬,Anthony Perkins¬,Horror¬,Psicosis III¬,R¬,93¬,Charles Edward Pogue¬,1986¬,,,
Paramount Pictures¬,USA¬,Mike Nichols¬,Comedy¬,Heartburn¬,R¬,108¬,Nora Ephron¬,1986¬,,,
Warner Bros.¬,USA¬,Michael Chapman¬,Adventure¬,The Clan of the Cave Bear¬,R¬,98¬,Jean M. Auel¬,1986¬,,,
Golan-Globus Productions¬,USA¬,Menahem Golan¬,Action¬,The Delta Force¬,R¬,125¬,James Bruner¬,1986¬,,,
Warner Bros.¬,USA¬,Wes Craven¬,Drama¬,Deadly Friend¬,R¬,91¬,Diana Henstell¬,1986¬,,,
TriStar Pictures¬,USA¬,Edward Zwick¬,Comedy¬,About Last Night...¬,R¬,113¬,David Mamet¬,1986¬,,,
Balcor Film Investors¬,USA¬,Steve Miner¬,Comedy¬,Soul Man¬,PG-13¬,104¬,Carol Black¬,1986¬,,,
A&M; Films¬,USA¬,Savage Steve Holland¬,Comedy¬,One Crazy Summer¬,PG¬,93¬,Savage Steve Holland¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,Charles Martin Smith¬,Comedy¬,Trick or Treat¬,R¬,98¬,Rhet Topham¬,1986¬,,,
Paramount Pictures¬,USA¬,Ron Howard¬,Comedy¬,Gung Ho¬,PG-13¬,112¬,Edwin Blum¬,1986¬,,,
American Filmworks¬,USA¬,Sidney Lumet¬,Crime¬,The Morning After¬,R¬,103¬,James Cresson¬,1986¬,,,
Police Academy Productions¬,USA¬,Jerry Paris¬,Comedy¬,Police Academy 3: Back in Training¬,PG¬,83¬,Neal Israel¬,1986¬,,,
40 Acres & A Mule Filmworks¬,USA¬,Spike Lee¬,Comedy¬,She's Gotta Have It¬,R¬,84¬,Spike Lee¬,1986¬,,,
Touchstone Pictures¬,USA¬,Jim Abrahams¬,Comedy¬,Ruthless People¬,R¬,93¬,Dale Launer¬,1986¬,,,
Delphi V Productions¬,USA¬,Paul Michael Glaser¬,Action¬,Band of the Hand¬,R¬,109¬,Leo Garen¬,1986¬,,,
Cannon Group¬,USA¬,John Frankenheimer¬,Crime¬,52 Pick-Up¬,R¬,110¬,Elmore Leonard¬,1986¬,,,
Paramount Pictures¬,USA¬,Randa Haines¬,Drama¬,Children of a Lesser God¬,R¬,119¬,Mark Medoff¬,1986¬,,,
Columbia Pictures Corporation¬,USA¬,Mark L. Lester¬,Action¬,Armed and Dangerous¬,PG-13¬,88¬,Brian Grazer¬,1986¬,,,
Black Snake¬,USA¬,Jim Jarmusch¬,Comedy¬,Down by Law¬,R¬,107¬,Jim Jarmusch¬,1986¬,,,
Orion Pictures¬,USA¬,Robert Mandel¬,Action¬,F¬,X¬,70286¬,14502¬,Robert T. Megginson¬,1986¬,,
Fuji Television Network¬,Japan¬,Masanori Hata¬,Adventure¬,The Adventures of Milo and Otis¬,G¬,90¬,Masanori Hata¬,1986¬,,,
Religioso Primitiva¬,USA¬,Jonathan Demme¬,Comedy¬,Something Wild¬,R¬,114¬,E. Max Frye¬,1986¬,,,
Gladden Entertainment¬,USA¬,Marshall Brickman¬,Sci-Fi¬,The Manhattan Project¬,PG-13¬,117¬,Marshall Brickman¬,1986¬,,,
Paramount Pictures¬,USA¬,Fred Walton¬,Horror¬,April Fool's Day¬,R¬,89¬,Danilo Bach¬,1986¬,,,
Brooksfilms¬,USA¬,Alan Johnson¬,Action¬,Solarbabies¬,PG-13¬,94¬,Walon Green¬,1986¬,,,
Kings Road Entertainment¬,USA¬,Jim McBride¬,Comedy¬,The Big Easy¬,R¬,102¬,Daniel Petrie Jr.¬,1986¬,,,
Lawrence Gordon Productions¬,USA¬,Penny Marshall¬,Comedy¬,Jumpin' Jack Flash¬,R¬,105¬,David Franzoni¬,1986¬,,,
Carthago Films S.a.r.l.¬,France¬,Roman Polanski¬,Adventure¬,Piratas¬,PG-13¬,121¬,John Brownjohn¬,1986¬,,,
Meltdown Productions¬,UK¬,Jimmy T. Murakami¬,Animation¬,When the Wind Blows¬,Not specified¬,80¬,Raymond Briggs¬,1986¬,,,
Touchstone Pictures¬,USA¬,Jeff Kanew¬,Comedy¬,Tough Guys¬,PG¬,104¬,James Orr¬,1986¬,,,
Compa��a Iberoamericana de TV¬,Spain¬,Pedro Almod�var¬,Drama¬,Matador¬,NC-17¬,110¬,Pedro Almod�var¬,1986¬,,,
New World Pictures¬,USA¬,Harley Cokeliss¬,Action¬,Black Moon Rising¬,R¬,100¬,John Carpenter¬,1986¬,,,
Cinema Group Ventures¬,USA¬,Roger Spottiswoode¬,Comedy¬,The Best of Times¬,PG-13¬,104¬,Ron Shelton¬,1986¬,,,
Paragon Arts International¬,UK¬,Kevin Tenney¬,Horror¬,Witchboard¬,R¬,98¬,Kevin Tenney¬,1986¬,,,
Touchstone Pictures¬,USA¬,Paul Mazursky¬,Comedy¬,Down and Out in Beverly Hills¬,R¬,103¬,Ren� Fauchois¬,1986¬,,,
Capital Equipment Leasing¬,UK¬,Trevor Nunn¬,Biography¬,Lady Jane¬,PG-13¬,136¬,Chris Bryant¬,1986¬,,,
Columbia Pictures Corporation¬,USA¬,Thomas Michael Donnelly¬,Crime¬,Quicksilver¬,PG¬,105¬,Thomas Michael Donnelly¬,1986¬,,,
Sunbow Productions¬,USA¬,Mike Joens¬,Animation¬,My Little Pony: The Movie¬,G¬,86¬,George Arthur Bloom¬,1986¬,,,
Virgin Vision¬,UK¬,Ken Russell¬,Horror¬,Gothic¬,R¬,87¬,Lord Byron¬,1986¬,,,
Producers Sales Organization (PSO)¬,USA¬,Hal Ashby¬,Action¬,8 Million Ways to Die¬,R¬,115¬,Lawrence Block¬,1986¬,,,
TriStar Pictures¬,USA¬,Richard Pearce¬,Crime¬,No Mercy¬,R¬,106¬,James Carabatsos¬,1986¬,,,
Orion Pictures¬,USA¬,Gene Wilder¬,Comedy¬,Haunted Honeymoon¬,PG¬,82¬,Gene Wilder¬,1986¬,,,
Empire Pictures¬,USA¬,Ted Nicolaou¬,Comedy¬,TerrorVision¬,R¬,83¬,Ted Nicolaou¬,1986¬,,,
Golan-Globus Productions¬,USA¬,Gary Nelson¬,Action¬,Allan Quatermain and the Lost City of Gold¬,PG¬,99¬,H. Rider Haggard¬,1986¬,,,
HandMade Films¬,UK¬,Neil Jordan¬,Crime¬,Mona Lisa¬,R¬,104¬,Neil Jordan¬,1986¬,,,
Delphi Films¬,USA¬,Garry Marshall¬,Comedy¬,Nothing in Common¬,PG¬,118¬,Rick Podell¬,1986¬,,,
Cannon Group¬,USA¬,J. Lee Thompson¬,Action¬,Firewalker¬,PG¬,104¬,Robert Gosnell¬,1986¬,,,
Cannon Screen Entertainment¬,UK¬,Nicolas Roeg¬,Adventure¬,Castaway¬,R¬,117¬,Lucy Irvine¬,1986¬,,,
Amaretto Films¬,USA¬,Richard Wenk¬,Comedy¬,Vamp¬,R¬,93¬,Donald P. Borchers¬,1986¬,,,
British Film Institute (BFI)¬,UK¬,Derek Jarman¬,Biography¬,Caravaggio¬,Not specified¬,93¬,Derek Jarman¬,1986¬,,,
Les Films Plain Chant¬,France¬,Leos Carax¬,Crime¬,Mauvais Sang¬,UNRATED¬,116¬,Leos Carax¬,1986¬,,,
Paramount Pictures¬,USA¬,Duncan Gibbins¬,Drama¬,Fire with Fire¬,PG-13¬,103¬,Bill Phillips¬,1986¬,,,
Warner Bros.¬,USA¬,Harold Ramis¬,Comedy¬,Club Paradise¬,PG-13¬,96¬,Harry Shearer¬,1986¬,,,
Universal Pictures¬,USA¬,Ivan Reitman¬,Comedy¬,Legal Eagles¬,PG¬,116¬,Ivan Reitman¬,1986¬,,,
Thorn EMI Screen Entertainment¬,UK¬,Christopher Morahan¬,Comedy¬,Clockwise¬,PG¬,96¬,Michael Frayn¬,1986¬,,,
Atlantic Entertainment Group¬,USA¬,Robert M. Young¬,Drama¬,Extremities¬,R¬,89¬,William Mastrosimone¬,1986¬,,,
Metro-Goldwyn-Mayer (MGM)¬,USA¬,Brian De Palma¬,Comedy¬,Wise Guys¬,R¬,100¬,George Gallo¬,1986¬,,,
Atlantic Entertainment Group¬,USA¬,Peter Medak¬,Drama¬,The Men's Club¬,R¬,101¬,Leonard Michaels¬,1986¬,,,
DD Productions¬,Switzerland¬,Claude Berri¬,Drama¬,Jean de Florette¬,PG¬,120¬,Claude Berri¬,1986¬,,,
Balcor Film Investors¬,USA¬,Tom DeSimone¬,Drama¬,Reform School Girls¬,R¬,94¬,Jack Cummins¬,1986¬,,,
DD Productions¬,Switzerland¬,Claude Berri¬,Drama¬,Manon of the Spring¬,PG¬,113¬,Claude Berri¬,1986¬,,,
HandMade Films¬,UK¬,Jim Goddard¬,Adventure¬,Shanghai Surprise¬,PG-13¬,97¬,John Kohn¬,1986¬,,,
Lorimar Productions¬,USA¬,Sidney Lumet¬,Drama¬,Power¬,R¬,111¬,David Himmelstein¬,1986¬,,,
Not specified¬,USA¬,Jerry Kramer¬,Comedy¬,Modern Girls¬,PG-13¬,84¬,Laurie Craig¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,Bruce Beresford¬,Comedy¬,Crimes of the Heart¬,PG-13¬,105¬,Beth Henley¬,1986¬,,,
Cinema VII¬,USA¬,John McTiernan¬,Horror¬,Nomads¬,R¬,91¬,John McTiernan¬,1986¬,,,
Empire Pictures¬,USA¬,Peter Manoogian¬,Action¬,Eliminators¬,PG¬,96¬,Paul De Meo¬,1986¬,,,
TMS Pictures¬,Canada¬,George Mendeluk¬,Comedy¬,Meatballs III: Summer Job¬,R¬,96¬,Janis Allen¬,1986¬,,,
Golan-Globus Productions¬,USA¬,J. Lee Thompson¬,Action¬,Murphy's Law¬,R¬,100¬,Gail Morgan Hickman¬,1986¬,,,
Edward R. Pressman Film¬,USA¬,David Byrne¬,Musical¬,True Stories¬,PG¬,90¬,Stephen Tobolowsky¬,1986¬,,,
Warner Bros.¬,USA¬,Prince¬,Comedy¬,Under the Cherry Moon¬,PG-13¬,98¬,Becky Johnston¬,1986¬,,,
Delphi V Productions¬,Israel¬,Mosh� Mizrahi¬,Drama¬,Every Time We Say Goodbye¬,PG-13¬,95¬,Mosh� Mizrahi¬,1986¬,,,
Goldcrest Films International¬,UK¬,Julien Temple¬,Drama¬,Absolute Beginners¬,PG-13¬,108¬,Colin MacInnes¬,1986¬,,,
Little Bear¬,USA¬,Bertrand Tavernier¬,Drama¬,Round Midnight¬,R¬,133¬,David Rayfiel¬,1986¬,,,
"Cannon Group, The¬",USA¬,Sam Firstenberg¬,Action¬,Avenging Force¬,R¬,104¬,James Booth¬,1986¬,,,
Simcom Limited¬,Canada¬,Paul Lynch¬,Action¬,Bullies¬,R¬,96¬,John Sheppard¬,1986¬,,,
Compact Yellowbill¬,UK¬,John Hough¬,Adventure¬,Biggles: Adventures in Time¬,PG¬,88¬,W.E. Johns¬,1986¬,,,
Lorimar Productions¬,USA¬,Albert Magnoli¬,Drama¬,American Anthem¬,PG-13¬,102¬,Evan Archerd¬,1986¬,,,
Columbia Pictures Corporation¬,USA¬,Richard Tuggle¬,Action¬,Out of Bounds¬,R¬,93¬,Tony Kayden¬,1986¬,,,
Crown International Pictures¬,USA¬,David Beaird¬,Comedy¬,My Chauffeur¬,R¬,97¬,David Beaird¬,1986¬,,,
Rastar Pictures¬,USA¬,Gene Saks¬,Comedy¬,Brighton Beach Memoirs¬,PG-13¬,108¬,Neil Simon¬,1986¬,,,
Minist�re de la Culture et de la Communication¬,France¬,�ric Rohmer¬,Drama¬,Summer¬,R¬,98¬,Marie Rivi�re¬,1986¬,,,
Cannon Group¬,USA¬,Paul Nicholas¬,Drama¬,The Naked Cage¬,R¬,97¬,Paul Nicholas¬,1986¬,,,
Cannon Screen Entertainment¬,UK¬,Richard Franklin¬,Horror¬,Link¬,R¬,100¬,Lee David Zlotoff¬,1986¬,,,
Edward R. Pressman Film¬,UK¬,Bob Swaim¬,Thriller¬,Half Moon Street¬,R¬,90¬,Edward Behr¬,1986¬,,,
Aaron Spelling Productions¬,USA¬,Tom Moore¬,Drama¬,"night, Mother¬",PG-13¬,96¬,Marsha Norman¬,1986¬,,,
Blake Edwards¬,USA¬,Blake Edwards¬,Action¬,A Fine Mess¬,PG¬,90¬,Blake Edwards¬,1986¬,,,
Chroma III Productions¬,USA¬,Mark Griffiths¬,Comedy¬,Hardbodies 2¬,R¬,88¬,Mark Griffiths¬,1986¬,,,
Fons Rademakers Produktie¬,Netherlands¬,Fons Rademakers¬,Drama¬,The Assault¬,PG¬,155¬,Gerard Soeteman¬,1986¬,,,
Griffon Productions¬,USA¬,Paul Schneider¬,Comedy¬,Willy¬,Milly¬,141186¬,323¬,Alan Friedman¬,1986¬,,
Heron Communications¬,USA¬,Janet Greek¬,Drama¬,The Ladies Club¬,R¬,85¬,Casey Bishop¬,1986¬,,,
Delphi V Productions¬,USA¬,Stuart Rosenberg¬,Action¬,Let's Get Harry¬,R¬,102¬,Mark Feldberg¬,1986¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,Daryl Duke¬,Adventure¬,Tai-Pan¬,R¬,127¬,John Briley¬,1986¬,,,
Scary Stuff¬,USA¬,Jeffrey Delman¬,Comedy¬,Deadtime Stories¬,R¬,93¬,Jeffrey Delman¬,1986¬,,,
Escalante Productions¬,USA¬,Dick Richards¬,Action¬,Heat¬,R¬,101¬,William Goldman¬,1986¬,,,
Kings Road Entertainment¬,USA¬,Robert Mandel¬,Comedy¬,Touch and Go¬,R¬,101¬,Alan Ormsby¬,1986¬,,,
Canadian Broadcasting Corporation (CBC)¬,Canada¬,Charles Jarrott¬,Biography¬,The Boy in Blue¬,R¬,100¬,Douglas Bowie¬,1986¬,,,
Universal Pictures¬,USA¬,Alan Alda¬,Comedy¬,Sweet Liberty¬,PG¬,106¬,Alan Alda¬,1986¬,,,
Marquis¬,USA¬,William Fruet¬,Comedy¬,Killer Party¬,R¬,91¬,Barney Cohen¬,1986¬,,,
Rondo Productions¬,USA¬,Bill Sherwood¬,Drama¬,Parting Glances¬,Not specified¬,90¬,Bill Sherwood¬,1986¬,,,
Nelvana¬,Canada¬,Dale Schott¬,Animation¬,Care Bears Movie II: A New Generation¬,G¬,76¬,Peter Sauder¬,1986¬,,,
Columbia Pictures Corporation¬,USA¬,Richard Pryor¬,Biography¬,"Jo Jo Dancer, Your Life Is Calling¬",R¬,97¬,Rocco Urbisci¬,1986¬,,,
Balcor Film Investors¬,USA¬,Andrew Lane¬,Action¬,Jake Speed¬,PG¬,100¬,Wayne Crawford¬,1986¬,,,
Cinema Group Ventures¬,USA¬,Renny Harlin¬,Action¬,Born American¬,R¬,97¬,Renny Harlin¬,1986¬,,,
Paramount Pictures¬,USA¬,Michelle Manning¬,Action¬,Blue City¬,R¬,83¬,Ross Macdonald¬,1986¬,,,
Cascade Films¬,Australia¬,Nadia Tass¬,Comedy¬,Malcolm¬,PG-13¬,90¬,David Parker¬,1986¬,,,
Miramax¬,USA¬,Bob Weinstein¬,Comedy¬,Playing for Keeps¬,PG-13¬,102¬,Bob Weinstein¬,1986¬,,,
Golan-Globus Productions¬,USA¬,Andrey Konchalovskiy¬,Drama¬,Duet for One¬,R¬,107¬,Tom Kempinski¬,1986¬,,,
Island Pictures¬,USA¬,Evelyn Purcell¬,Comedy¬,Nobody's Fool¬,PG-13¬,107¬,Beth Henley¬,1986¬,,,
Paramount Pictures¬,USA¬,John Byrum¬,Comedy¬,The Whoopee Boys¬,R¬,88¬,Steve Zacharias¬,1986¬,,,
Blake Edwards¬,USA¬,Blake Edwards¬,Comedy¬,That's Life!¬,PG-13¬,102¬,Milton Wexler¬,1986¬,,,
Hemdale¬,USA¬,Hal Needham¬,Comedy¬,Body Slam¬,PG¬,89¬,Shel Lytton¬,1986¬,,,
"Rank Organisation, The¬",UK¬,David Drury¬,Thriller¬,Defense of the Realm¬,PG¬,96¬,Martin Stellman¬,1986¬,,,
Cinequanon¬,Argentina¬,Eliseo Subiela¬,Drama¬,Man Facing Southeast¬,R¬,105¬,Eliseo Subiela¬,1986¬,,,
Corporation Image M & M¬,Canada¬,Denys Arcand¬,Comedy¬,The Decline of the American Empire¬,R¬,101¬,Denys Arcand¬,1986¬,,,
Rastar Films¬,USA¬,Jack Fisk¬,Drama¬,Violets Are Blue...¬,PG-13¬,88¬,Naomi Foner¬,1986¬,,,
Portreeve¬,UK¬,Simon Langton¬,Thriller¬,The Whistle Blower¬,PG¬,100¬,Julian Bond¬,1986¬,,,
American Playhouse¬,USA¬,Jerrold Freedman¬,Drama¬,Native Son¬,PG¬,111¬,Richard Wesley¬,1986¬,,,
Carson Productions¬,USA¬,Eugene Corr¬,Drama¬,Desert Bloom¬,PG¬,105¬,Linda Remy¬,1986¬,,,
Alternate Current¬,USA¬,Lizzie Borden¬,Drama¬,Working Girls¬,UNRATED¬,93¬,Lizzie Borden¬,1986¬,,,
Cin� Valse¬,France¬,Bertrand Blier¬,Comedy¬,M�nage¬,Not specified¬,84¬,Bertrand Blier¬,1986¬,,,
Cam�ras Continentales¬,Denmark¬,Henning Carlsen¬,Biography¬,Oviri¬,R¬,100¬,Henning Carlsen¬,1986¬,,,
Film Corporation of Kenya¬,UK¬,Raju Patel¬,Action¬,In the Shadow of Kilimanjaro¬,R¬,100¬,T. Michael Harry¬,1986¬,,,
Cineplex-Odeon Films¬,Australia¬,Tim Burstall¬,Drama¬,Kangaroo¬,R¬,108¬,Evan Jones¬,1986¬,,,
Cannon Group¬,USA¬,Albert Pyun¬,Action¬,Dangerously Close¬,R¬,95¬,Scott Fields¬,1986¬,,,
Hyperion Pictures¬,USA¬,Carroll Ballard¬,Family¬,Nutcracker¬,G¬,100¬,Kent Stowell¬,1986¬,,,
Produzioni Europee Associate (PEA)¬,Italy¬,Federico Fellini¬,Comedy¬,Ginger and Fred¬,PG-13¬,125¬,Federico Fellini¬,1986¬,,,
Metro-Goldwyn-Mayer (MGM)¬,USA¬,Alan J. Pakula¬,Crime¬,Dream Lover¬,R¬,104¬,Jon Boorstin¬,1986¬,,,
MTM Enterprises¬,USA¬,Allan Burns¬,Drama¬,Just Between Friends¬,PG-13¬,110¬,Allan Burns¬,1986¬,,,
